text;canonical_form_1;canonical_form_2;canonical_form_3;category_1;category_2;category_3;severity_rating;severity_description
69;69;;;sexual anatomy / sexual acts;;;1;Mild
@55;ass;;;sexual anatomy / sexual acts;;;1;Mild
rat baztad;bastard;;;animal references;;;1.8;Strong
ape shit;ape;shit;;bodily fluids / excrement;;;1.6;Strong
ape shite;ape;shit;;bodily fluids / excrement;animal references;;1.6;Strong
blow a load;blow a load;;;bodily fluids / excrement;;;1.6;Strong
0ral seks;sex;;;sexual anatomy / sexual acts;;;1;Mild
bonk juice;bonk;;;bodily fluids / excrement;;;1.6;Strong
0rg@sm;orgasm;;;sexual anatomy / sexual acts;;;1;Mild
0rgasms;orgasm;;;sexual anatomy / sexual acts;;;1;Mild
choad nectar;choad;;;bodily fluids / excrement;;;2;Strong
4r5e;arse;;;sexual anatomy / sexual acts;;;1.4;Mild
4r5ed;arse;;;sexual anatomy / sexual acts;;;1.4;Mild
4r5es;arse;;;sexual anatomy / sexual acts;;;1.4;Mild
4skin;foreskin;;;sexual anatomy / sexual acts;;;1;Mild
5h17;shit;;;bodily fluids / excrement;;;1;Mild
5h1t;shit;;;bodily fluids / excrement;;;1;Mild
cock droplets;cock;;;bodily fluids / excrement;sexual anatomy / sexual acts;;2.4;Strong
a_s_s;ass;;;sexual anatomy / sexual acts;;;1;Mild
abbie;abraham;;;racial / ethnic slurs;;;1.2;Mild
cumball;cum;;;bodily fluids / excrement;;;2.4;Strong
aboe;abo;;;racial / ethnic slurs;;;1;Mild
anal;anal;;;sexual anatomy / sexual acts;;;1;Mild
cumdumpster;cum;;;bodily fluids / excrement;;;2.8;Severe
cumming;cum;;;bodily fluids / excrement;;;1.6;Strong
cumslut;cum;;;bodily fluids / excrement;other / general insult;;2.8;Severe
cumz;cum;;;bodily fluids / excrement;;;2;Strong
darkshit;shit;;;bodily fluids / excrement;racial / ethnic slurs;;3;Severe
dipsh1tty;shit;;;bodily fluids / excrement;;;1.6;Strong
dipshidiot;shit;;;bodily fluids / excrement;mental disability;;1.6;Strong
dipshite;shit;;;bodily fluids / excrement;;;1.6;Strong
anus;anus;;;sexual anatomy / sexual acts;;;1;Mild
dipshits;shit;;;bodily fluids / excrement;mental disability;;1.6;Strong
dipshitter;shit;;;bodily fluids / excrement;mental disability;;1.6;Strong
dipshitty;shit;;;bodily fluids / excrement;mental disability;;1.8;Strong
apeshit;ape;shit;;bodily fluids / excrement;racial / ethnic slurs;animal references;1.4;Mild
apeshite;ape;shit;;bodily fluids / excrement;racial / ethnic slurs;;1.4;Mild
ar5e;arse;;;sexual anatomy / sexual acts;;;1;Mild
ar5ehole;arse;;;sexual anatomy / sexual acts;;;1.4;Mild
arse;arse;;;sexual anatomy / sexual acts;;;1;Mild
dumbshit;shit;;;bodily fluids / excrement;;;1.6;Strong
arse hole;arse;;;sexual anatomy / sexual acts;;;1.2;Mild
dump a load;dump a load;;;bodily fluids / excrement;;;1.6;Strong
erectoplasm;erectoplasm;;;bodily fluids / excrement;;;1.8;Strong
fagshit;faggot;shit;;bodily fluids / excrement;sexual orientation / gender;;3;Severe
gay shit;gay;shit;;bodily fluids / excrement;sexual orientation / gender;;1.8;Strong
gobshite;shit;;;bodily fluids / excrement;;;1.8;Strong
jizz;jizz;;;bodily fluids / excrement;;;1.6;Strong
jizz-jockey;jizz;;;bodily fluids / excrement;;;2.2;Strong
jizzbags;jizz;;;bodily fluids / excrement;;;2.4;Strong
arsehole;arse;;;sexual anatomy / sexual acts;;;1.4;Mild
jizzed;jizz;;;bodily fluids / excrement;;;2;Strong
arsewipe;arse;;;sexual anatomy / sexual acts;;;1.4;Mild
jizzes;jizz;;;bodily fluids / excrement;;;2.2;Strong
ass;ass;;;sexual anatomy / sexual acts;;;1;Mild
jizzfucker;fuck;jizz;;bodily fluids / excrement;sexual anatomy / sexual acts;;2.6;Severe
jizzing;jizz;;;bodily fluids / excrement;;;1.6;Strong
jizzstain;jizz;;;bodily fluids / excrement;;;2.8;Severe
jizzy;jizz;;;bodily fluids / excrement;;;1.6;Strong
packing fudgehead;fudge packer;;;bodily fluids / excrement;sexual anatomy / sexual acts;sexual orientation / gender;1.8;Strong
sh1td1ck;shit;dick;;bodily fluids / excrement;;;2;Strong
sh1th3ad;shit;;;bodily fluids / excrement;mental disability;;2;Strong
sh1theads;shit;;;bodily fluids / excrement;other / general insult;;2;Strong
ass hole;ass;;;sexual anatomy / sexual acts;;;1.2;Mild
ass kisser;ass;;;sexual anatomy / sexual acts;;;1.2;Mild
shit face;shit;;;bodily fluids / excrement;physical attributes;;1.8;Strong
shit for brains;shit;;;bodily fluids / excrement;mental disability;;1.6;Strong
shit head;shit;;;bodily fluids / excrement;;;1.8;Strong
shit licker;shit;;;bodily fluids / excrement;sexual anatomy / sexual acts;;2;Strong
shit stain;shit;;;bodily fluids / excrement;;;1.8;Strong
shit-ass;shit;ass;;bodily fluids / excrement;;;2;Strong
asses;ass;;;sexual anatomy / sexual acts;;;1;Mild
shit-bandit;shit;;;bodily fluids / excrement;other / general insult;;1.6;Strong
shitbag;shit;;;bodily fluids / excrement;;;2;Strong
shitbird;shit;;;bodily fluids / excrement;;;1.8;Strong
shitblimp;shit;;;bodily fluids / excrement;physical attributes;;1.6;Strong
shitblimps;shit;;;bodily fluids / excrement;physical attributes;;1.6;Strong
shitbrain;shit;;;bodily fluids / excrement;;;2;Strong
shitdikk;shit;dick;;bodily fluids / excrement;;;2;Strong
shitdip;shit;;;bodily fluids / excrement;;;1.8;Strong
shiteblimps;shit;;;bodily fluids / excrement;;;1.8;Strong
shitefulls;shit;;;bodily fluids / excrement;;;1.8;Strong
shitehead;shit;;;bodily fluids / excrement;;;1.8;Strong
shitface;shit;;;bodily fluids / excrement;;;2;Strong
shitfreak;shit;;;bodily fluids / excrement;;;2;Strong
shitfudgefucker;fuck;shit;fudge packer;bodily fluids / excrement;other / general insult;;2.6;Severe
shithead;shit;;;bodily fluids / excrement;;;1.8;Strong
shitheads;shit;;;bodily fluids / excrement;;;1.8;Strong
shittasticfuck;fuck;shit;;bodily fluids / excrement;;;2.2;Strong
shitty mofoes;shit;motherfucker;;bodily fluids / excrement;sexual anatomy / sexual acts;other / general insult;1.6;Strong
shittydick;shit;dick;;bodily fluids / excrement;sexual anatomy / sexual acts;;2;Strong
shittyful;shit;;;bodily fluids / excrement;;;1.6;Strong
asshat;ass;;;sexual anatomy / sexual acts;;;1.2;Mild
slanteyeshit;shit;slant eye;;bodily fluids / excrement;racial / ethnic slurs;;3;Severe
asshole;ass;;;sexual anatomy / sexual acts;;;1.2;Mild
spicshit;spic;shit;;bodily fluids / excrement;racial / ethnic slurs;;3;Severe
throat yogurt;throat yogurt;;;bodily fluids / excrement;;;1.8;Strong
turdhead;turd;;;bodily fluids / excrement;;;1.6;Strong
dipsh1t;shit;;;mental disability;bodily fluids / excrement;other / general insult;1.6;Strong
asswhole;ass;;;sexual anatomy / sexual acts;;;1.4;Mild
m0ng0l0id;mongoloid;;;mental disability;racial / ethnic slurs;;2.2;Strong
axe wound;wound;;;sexual anatomy / sexual acts;;;1.2;Mild
azz;ass;;;sexual anatomy / sexual acts;;;1;Mild
r3t@rd;retard;;;mental disability;;;2.8;Severe
b to the inch;bitch;;;sexual orientation / gender;;;1.2;Mild
b！tch;bitch;;;sexual orientation / gender;;;1.4;Mild
b00bz;boobs;;;sexual anatomy / sexual acts;;;1;Mild
b0llock;bollocks;;;sexual anatomy / sexual acts;;;1;Mild
b0llocks;bollocks;;;sexual anatomy / sexual acts;;;1.2;Mild
b1+ch;bitch;;;sexual orientation / gender;;;1;Mild
b17ch;bitch;;;sexual orientation / gender;;;1.4;Mild
b1otch;bitch;;;sexual orientation / gender;;;1.4;Mild
b1otchs;bitch;;;sexual orientation / gender;;;1.2;Mild
b1tch;bitch;;;sexual orientation / gender;;;1.4;Mild
b1tch1ng;bitch;;;sexual orientation / gender;;;1.2;Mild
b1tch35;bitch;;;sexual orientation / gender;;;1;Mild
b1tch3s;bitch;;;sexual orientation / gender;;;1.4;Mild
b1tchees;bitch;;;sexual orientation / gender;;;1.4;Mild
b1tches;bitch;;;sexual orientation / gender;;;1.4;Mild
b1tchez;bitch;;;sexual orientation / gender;;;1.2;Mild
b1tchin;bitch;;;other / general insult;;;1.2;Mild
b1tching;bitch;;;sexual orientation / gender;;;1.2;Mild
b1tchs;bitch;;;sexual orientation / gender;;;1.4;Mild
b1tchy;bitch;;;sexual orientation / gender;;;1.2;Mild
baby batter;baby batter;;;bodily fluids / excrement;;;1.4;Mild
ballbag;bollocks;;;sexual anatomy / sexual acts;;;1;Mild
r3t@rded;retarded;;;mental disability;;;2.8;Severe
bassturd;bastard;;;other / general insult;;;1.2;Mild
bastard;bastard;retard;;other / general insult;;;1.2;Mild
bastardish;bastard;;;other / general insult;;;1;Mild
r3tard;retard;;;mental disability;;;2.6;Severe
basterd;bastard;;;other / general insult;;;1;Mild
bastid;bastard;;;other / general insult;;;1.2;Mild
retard;retard;;;mental disability;;;2.8;Severe
basturd;bastard;;;bodily fluids / excrement;other / general insult;;1.2;Mild
retardotron;retard;;;mental disability;;;1.8;Strong
bates;masturbate;;;sexual anatomy / sexual acts;;;1;Mild
batshit;shit;;;bodily fluids / excrement;animal references;;1;Mild
batshite;shit;;;bodily fluids / excrement;animal references;;1.2;Mild
bbc;cock;;;sexual anatomy / sexual acts;;;1.4;Mild
tard;retard;;;mental disability;;;2.8;Severe
window licker;window licker;;;mental disability;;;1.8;Strong
bastards;bastard;;;other / general insult;;;1.6;Strong
beat my meat;meat;;;sexual anatomy / sexual acts;;;1.2;Mild
beat off;beat off;;;sexual anatomy / sexual acts;;;1.2;Mild
beat the meat;meat;;;sexual anatomy / sexual acts;;;1.4;Mild
beat your meat;meat;;;sexual anatomy / sexual acts;;;1.4;Mild
beeotch;bitch;;;sexual orientation / gender;;;1;Mild
bell end;bellend;;;mental disability;sexual anatomy / sexual acts;;1;Mild
bellend;bellend;;;sexual anatomy / sexual acts;;;1.2;Mild
bastinado;bastard;;;other / general insult;;;1.8;Strong
bewbs;boobs;;;sexual anatomy / sexual acts;;;1;Mild
beyoch;bitch;;;sexual orientation / gender;;;1.2;Mild
beyotch;bitch;;;other / general insult;;;1.2;Mild
bi + ch;bitch;;;sexual orientation / gender;;;1.2;Mild
bi+ch;bitch;;;sexual orientation / gender;;;1.4;Mild
biatch;bitch;;;sexual orientation / gender;;;1.2;Mild
biches;bitch;;;sexual orientation / gender;;;1.4;Mild
biotch;bitch;;;sexual orientation / gender;;;1;Mild
biotches;bitch;;;sexual orientation / gender;;;1.2;Mild
biotchez;bitch;;;sexual orientation / gender;;;1.4;Mild
bishes;bitch;;;sexual orientation / gender;;;1.2;Mild
bitch;bitch;;;sexual orientation / gender;;;1.4;Mild
bitch3s;bitch;;;sexual orientation / gender;;;1.2;Mild
fckyeah;fuck;;;other / general insult;;;1.6;Strong
gowl;gowl;;;other / general insult;;;1.6;Strong
bitched;bitch;;;sexual orientation / gender;;;1.2;Mild
bitcher;bitch;;;sexual orientation / gender;;;1.4;Mild
bitchers;bitch;;;sexual orientation / gender;;;1.4;Mild
kkk;kkk;;;other / general insult;;;1.8;Strong
bitchez;bitch;;;sexual orientation / gender;;;1.4;Mild
m0f0s;motherfucker;;;other / general insult;;;2.4;Strong
m0foes;motherfucker;;;other / general insult;;;2.2;Strong
bitchin;bitch;;;other / general insult;;;1.2;Mild
bitchin';bitch;;;other / general insult;;;1;Mild
bitching;bitch;;;sexual orientation / gender;;;1;Mild
bitchlike;bitch;;;sexual orientation / gender;;;1.2;Mild
mof0s;motherfucker;;;other / general insult;;;2.6;Severe
bitchs;bitch;;;sexual orientation / gender;;;1;Mild
bitchslap;bitch;;;sexual orientation / gender;other / general insult;;1;Mild
mofoes;motherfucker;;;other / general insult;;;2;Strong
bitchy;bitch;;;sexual orientation / gender;;;1.2;Mild
mofucker;motherfucker;;;other / general insult;;;2;Strong
mofuk;motherfucker;;;other / general insult;;;2.2;Strong
motherfxck;motherfucker;;;other / general insult;;;2.4;Strong
pedobears;pedophile;;;other / general insult;animal references;;2.2;Strong
pedos;pedophile;;;other / general insult;;;2.4;Strong
rat bastard;bastard;;;other / general insult;animal references;;1.6;Strong
blowjob;blowjob;;;sexual anatomy / sexual acts;;;1.2;Mild
s.o.b.s;bitch;;;other / general insult;sexual orientation / gender;;1.6;Strong
boll0ck;bollocks;;;sexual anatomy / sexual acts;;;1;Mild
bollock;bollocks;;;sexual anatomy / sexual acts;;;1;Mild
bollockchops;bollocks;;;sexual anatomy / sexual acts;;;1.2;Mild
bollocks;bollocks;;;sexual anatomy / sexual acts;;;1.2;Mild
bollocktician;bollocks;;;sexual anatomy / sexual acts;;;1.4;Mild
bollox;bollocks;;;sexual anatomy / sexual acts;;;1;Mild
bondage;bondage;;;sexual anatomy / sexual acts;;;1;Mild
boner;boner;;;sexual anatomy / sexual acts;;;1;Mild
sh1tfuck;fuck;shit;;other / general insult;bodily fluids / excrement;;2.6;Severe
boobs;boobs;;;sexual anatomy / sexual acts;;;1;Mild
booty;booty;;;sexual anatomy / sexual acts;;;1;Mild
breasticles;breast;;;sexual anatomy / sexual acts;;;1.4;Mild
breasts;breast;;;sexual anatomy / sexual acts;;;1;Mild
bugger;bugger;;;sexual anatomy / sexual acts;other / general insult;;1.2;Mild
bugger off;bugger;;;sexual anatomy / sexual acts;other / general insult;;1;Mild
bull shit;shit;;;bodily fluids / excrement;animal references;;1;Mild
bullshi;shit;;;bodily fluids / excrement;;;1;Mild
bullshit;shit;;;bodily fluids / excrement;animal references;;1.2;Mild
bullshite;shit;;;bodily fluids / excrement;;;1;Mild
shit fuck;fuck;shit;;other / general insult;bodily fluids / excrement;;2.4;Strong
shitfuckhead;fuck;shit;;other / general insult;bodily fluids / excrement;;2.6;Severe
bumhole;bum;;;sexual anatomy / sexual acts;;;1;Mild
bung hole;bung;;;sexual anatomy / sexual acts;;;1;Mild
shtfuk;shit;fuck;;other / general insult;bodily fluids / excrement;;1.8;Strong
shut the fuck up;fuck;;;other / general insult;;;2.2;Strong
butt hole;butt;;;sexual anatomy / sexual acts;;;1;Mild
soab;bitch;;;other / general insult;sexual orientation / gender;;1.6;Strong
sons of bitches;bitch;;;other / general insult;sexual orientation / gender;;1.6;Strong
sonz of bitchez;bitch;;;other / general insult;sexual orientation / gender;;1.8;Strong
turdcutter;turd;;;other / general insult;bodily fluids / excrement;;1.6;Strong
what the fuck;fuck;;;other / general insult;;;2.2;Strong
buttermilk;buttermilk;;;racial / ethnic slurs;;;1.4;Mild
jailba!t;jailbait;;;physical attributes;;;1.6;Strong
retardo;retard;;;physical disability;mental disability;;2.6;Severe
china-virus;china virus;;;political;;;2.2;Strong
butthole;butt;;;sexual anatomy / sexual acts;sexual orientation / gender;;1.2;Mild
chinavirus;china virus;;;political;;;2.6;Severe
bwc;cock;;;sexual anatomy / sexual acts;;;1.4;Mild
chinese-virus;china virus;;;political;;;2.8;Severe
abeed;abeed;;;racial / ethnic slurs;;;1.8;Strong
bean queen;bean queen;;;racial / ethnic slurs;;;2.2;Strong
beaner;beaner;;;racial / ethnic slurs;;;2.6;Severe
beaners;beaner;;;racial / ethnic slurs;;;2.6;Severe
blacky;blacky;;;racial / ethnic slurs;;;2.4;Strong
c0ck;cock;;;sexual anatomy / sexual acts;;;1.2;Mild
c00n;coon;;;racial / ethnic slurs;;;2.8;Severe
c00nies;coon;;;racial / ethnic slurs;;;2.6;Severe
Camel jockey;camel jockey;;;racial / ethnic slurs;animal references;;2.8;Severe
ch1nk;chink;;;racial / ethnic slurs;;;3;Severe
chingchong;chingchong;;;racial / ethnic slurs;;;2.8;Severe
chink;chink;;;racial / ethnic slurs;;;3;Severe
c0x;cock;;;sexual anatomy / sexual acts;;;1.4;Mild
chinky;chink;;;racial / ethnic slurs;;;3;Severe
caaak;cock;;;sexual anatomy / sexual acts;;;1.4;Mild
caca;shit;;;bodily fluids / excrement;;;1;Mild
cack;cock;;;bodily fluids / excrement;;;1.2;Mild
cagone;cojones;;;bodily fluids / excrement;;;1.2;Mild
cajones;cojones;;;sexual anatomy / sexual acts;;;1;Mild
cholo;cholo;;;racial / ethnic slurs;;;1.6;Strong
cameltoe;cameltoe;;;sexual anatomy / sexual acts;;;1.2;Mild
coolie;coolie;;;racial / ethnic slurs;;;1.8;Strong
coon;coon;;;racial / ethnic slurs;;;3;Severe
coon1es;coon;;;racial / ethnic slurs;;;3;Severe
cooni3s;coon;;;racial / ethnic slurs;;;2.4;Strong
cawk;cock;;;sexual anatomy / sexual acts;;;1.4;Mild
coonie;coon;;;racial / ethnic slurs;;;2.8;Severe
coonies;coon;;;racial / ethnic slurs;;;3;Severe
cawks;cock;;;sexual anatomy / sexual acts;;;1.2;Mild
coons;coon;;;racial / ethnic slurs;;;2.8;Severe
cotton picker;cotton picker;;;racial / ethnic slurs;;;2.8;Severe
chesticles;testicles;;;sexual anatomy / sexual acts;;;1;Mild
dago;dago;;;racial / ethnic slurs;;;2.2;Strong
darkass;ass;;;racial / ethnic slurs;;;2.6;Severe
darkie;darky;;;racial / ethnic slurs;;;2.8;Severe
darktard;retard;darky;;racial / ethnic slurs;mental disability;;3;Severe
darky;darky;;;racial / ethnic slurs;;;2.8;Severe
dothead;dothead;;;racial / ethnic slurs;;;2.6;Severe
dune coon;coon;;;racial / ethnic slurs;;;3;Severe
gook;gook;;;racial / ethnic slurs;;;2.8;Severe
choke the chicken;choke the chicken;;;sexual anatomy / sexual acts;;;1.4;Mild
groid;groid;;;racial / ethnic slurs;;;2;Strong
gyp;gypsy;;;racial / ethnic slurs;;;2;Strong
heeb;hebe;;;racial / ethnic slurs;;;2.2;Strong
higg@;nigger;;;racial / ethnic slurs;;;2.6;Severe
higg3r;nigger;;;racial / ethnic slurs;;;2.8;Severe
higga;nigger;;;racial / ethnic slurs;;;2.8;Severe
higger;nigger;;;racial / ethnic slurs;;;2.6;Severe
higgers;nigger;;;racial / ethnic slurs;;;3;Severe
injun;injun;;;racial / ethnic slurs;;;2.4;Strong
cock;cock;;;sexual anatomy / sexual acts;;;1.4;Mild
jap;jap;;;racial / ethnic slurs;;;2.8;Severe
jewboy;jew;;;racial / ethnic slurs;;;2.8;Severe
jigaboo;jiggaboo;;;racial / ethnic slurs;;;2.4;Strong
jigaboos;jiggaboo;;;racial / ethnic slurs;;;2.8;Severe
jigga;jiggaboo;nigger;;racial / ethnic slurs;;;2.4;Strong
jiggaboo;jiggaboo;;;racial / ethnic slurs;;;3;Severe
jiggabooboo;jiggaboo;;;racial / ethnic slurs;;;2.4;Strong
jiggaboos;jiggaboo;;;racial / ethnic slurs;;;3;Severe
jiggabu;jiggaboo;;;racial / ethnic slurs;;;3;Severe
jiggas;jiggaboo;;;racial / ethnic slurs;;;2.8;Severe
jigger;jiggaboo;nigger;;racial / ethnic slurs;;;3;Severe
jiggerboo;jiggaboo;;;racial / ethnic slurs;;;2.6;Severe
jiggerboos;jiggaboo;;;racial / ethnic slurs;;;3;Severe
jiggs;jiggaboo;;;racial / ethnic slurs;;;2.6;Severe
jiggyboo;jiggaboo;;;racial / ethnic slurs;;;3;Severe
jigro;jiggaboo;nigger;;racial / ethnic slurs;;;2.8;Severe
k!k3;kike;;;racial / ethnic slurs;;;2.6;Severe
k!ke;kike;;;racial / ethnic slurs;;;3;Severe
k..!ke;kike;;;racial / ethnic slurs;;;3;Severe
k1k3;kike;;;racial / ethnic slurs;;;3;Severe
k1ke;kike;;;racial / ethnic slurs;;;2.8;Severe
kike;kike;;;racial / ethnic slurs;;;3;Severe
kikes;kike;;;racial / ethnic slurs;;;3;Severe
klan;klan;;;racial / ethnic slurs;;;1.8;Strong
kneegrows;negro;;;racial / ethnic slurs;;;2.8;Severe
knickers;nigger;;;racial / ethnic slurs;;;1.8;Strong
ku kluxer;ku kluxer;;;racial / ethnic slurs;;;2.6;Severe
kyke;kike;;;racial / ethnic slurs;;;3;Severe
cockless;cock;;;sexual anatomy / sexual acts;;;1.4;Mild
m0ngoloid;mongoloid;;;racial / ethnic slurs;;;2.2;Strong
mong;mong;;;racial / ethnic slurs;;;1.8;Strong
mongoloid;mongoloid;;;racial / ethnic slurs;;;2.2;Strong
mongrel;mongrel;;;racial / ethnic slurs;;;2.6;Severe
n1ckker;nigger;;;racial / ethnic slurs;;;2.8;Severe
n1g3r;nigger;;;racial / ethnic slurs;;;3;Severe
n1g3rz;nigger;;;racial / ethnic slurs;;;3;Severe
n1gg@;nigger;;;racial / ethnic slurs;;;3;Severe
n1gg@hs;niggger;;;racial / ethnic slurs;;;2.8;Severe
n1gg3r;nigger;;;racial / ethnic slurs;;;3;Severe
n1gg3rs;nigger;;;racial / ethnic slurs;;;3;Severe
n1gga;nigger;;;racial / ethnic slurs;;;2.4;Strong
n1ggah;nigger;;;racial / ethnic slurs;;;2.8;Severe
n1ggahs;niggers;;;racial / ethnic slurs;;;3;Severe
n1ggas;nigger;;;racial / ethnic slurs;;;3;Severe
n1ggazes;nigger;;;racial / ethnic slurs;;;3;Severe
n1gger;nigger;;;racial / ethnic slurs;;;3;Severe
n1ggers;nigger;;;racial / ethnic slurs;;;3;Severe
n1gguh;nigger;;;racial / ethnic slurs;;;2.8;Severe
n3gro;negro;;;racial / ethnic slurs;;;2.4;Strong
negga;nigger;;;racial / ethnic slurs;;;2.8;Severe
neggar;nigger;;;racial / ethnic slurs;;;2.8;Severe
negr0;negro;;;racial / ethnic slurs;;;2.8;Severe
negro;negro;;;racial / ethnic slurs;;;2;Strong
negroes;negro;;;racial / ethnic slurs;;;2.6;Severe
negroid;negro;;;racial / ethnic slurs;;;2.6;Severe
niccer;nigger;;;racial / ethnic slurs;;;2.6;Severe
nicka;nigger;;;racial / ethnic slurs;;;2.6;Severe
nickas;nigger;;;racial / ethnic slurs;;;2.8;Severe
nicker;nigger;;;racial / ethnic slurs;;;3;Severe
nickk3r;nigger;;;racial / ethnic slurs;;;3;Severe
nickker;nigger;;;racial / ethnic slurs;;;3;Severe
nig;nigger;;;racial / ethnic slurs;;;3;Severe
nig-nog;nigger;;;racial / ethnic slurs;;;2.8;Severe
coot coot;coot;;;sexual anatomy / sexual acts;;;1.4;Mild
cooter;coot;;;sexual anatomy / sexual acts;;;1.2;Mild
niga;nigger;;;racial / ethnic slurs;;;2.6;Severe
nigah;nigger;;;racial / ethnic slurs;;;2.8;Severe
cooties;cooties;;;other / general insult;;;1;Mild
nigasses;nigger;ass;;racial / ethnic slurs;;;3;Severe
crazy mofos;motherfucker;;;sexual anatomy / sexual acts;other / general insult;;1.4;Mild
crazy sob;bitch;;;mental disability;;;1.4;Mild
nigers;nigger;;;racial / ethnic slurs;;;3;Severe
crotch;crotch;;;sexual anatomy / sexual acts;;;1;Mild
nigg@;nigger;;;racial / ethnic slurs;;;2.8;Severe
crotchy;crotch;;;sexual anatomy / sexual acts;;;1.4;Mild
crow;crow;;;animal references;;;1;Mild
crows;crow;;;sexual orientation / gender;animal references;;1.4;Mild
nigg@hs;nigger;;;racial / ethnic slurs;;;2.8;Severe
nigg@s;nigger;;;racial / ethnic slurs;;;2.8;Severe
nigg@z;nigger;;;racial / ethnic slurs;;;2.6;Severe
nigg@zzes;nigger;;;racial / ethnic slurs;;;2.8;Severe
nigg3r;nigger;;;racial / ethnic slurs;;;3;Severe
nigg3rs;nigger;;;racial / ethnic slurs;;;3;Severe
cums;cum;;;bodily fluids / excrement;;;1.4;Mild
nigg4h;nigger;;;racial / ethnic slurs;;;3;Severe
nigg4hs;nigger;;;racial / ethnic slurs;;;2.8;Severe
nigga;nigger;;;racial / ethnic slurs;;;2.8;Severe
nigga lover;nigger;;;racial / ethnic slurs;;;3;Severe
niggah;nigger;;;racial / ethnic slurs;;;2.8;Severe
niggahs;nigger;;;racial / ethnic slurs;;;2.2;Strong
niggahz;nigger;;;racial / ethnic slurs;;;3;Severe
niggas;nigger;;;racial / ethnic slurs;;;2.8;Severe
niggass;nigger;ass;;racial / ethnic slurs;;;2.6;Severe
niggaz;nigger;;;racial / ethnic slurs;;;2.2;Strong
niggazzes;nigger;;;racial / ethnic slurs;;;2.8;Severe
nigger;nigger;;;racial / ethnic slurs;;;3;Severe
nigger lover;nigger;;;racial / ethnic slurs;sexual anatomy / sexual acts;;3;Severe
niggers;nigger;;;racial / ethnic slurs;;;3;Severe
niggerz;nigger;;;racial / ethnic slurs;;;3;Severe
niggir;nigger;;;racial / ethnic slurs;;;3;Severe
niggress;nigger;;;racial / ethnic slurs;;;3;Severe
nigguh;nigger;;;racial / ethnic slurs;;;2.8;Severe
nigguhs;nigger;;;racial / ethnic slurs;;;3;Severe
nigguhz;nigger;;;racial / ethnic slurs;;;3;Severe
niglet;nigger;;;racial / ethnic slurs;;;3;Severe
nignigs;nigger;;;racial / ethnic slurs;;;3;Severe
nignog;nigger;;;racial / ethnic slurs;;;2.8;Severe
nigra;nigger;;;racial / ethnic slurs;;;2.8;Severe
nigre;nigger;nigga;;racial / ethnic slurs;;;3;Severe
nigs;nigger;;;racial / ethnic slurs;;;2.8;Severe
niguh;nigger;;;racial / ethnic slurs;;;2.8;Severe
nikk3r;nigger;;;racial / ethnic slurs;;;3;Severe
nikkas;nigger;;;racial / ethnic slurs;;;3;Severe
nikker;nigger;;;racial / ethnic slurs;;;2.8;Severe
nuckas;nigger;;;racial / ethnic slurs;;;2.6;Severe
d!ck;dick;;;sexual anatomy / sexual acts;;;1;Mild
d!cks;dick;;;sexual anatomy / sexual acts;;;1;Mild
d!ld0;dildo;;;sexual anatomy / sexual acts;;;1.4;Mild
d!ldo;dildo;;;sexual anatomy / sexual acts;;;1.4;Mild
oven dodger;oven dodger;;;racial / ethnic slurs;;;2;Strong
d1ck;dick;;;sexual anatomy / sexual acts;;;1;Mild
paki;paki;;;racial / ethnic slurs;;;2.6;Severe
pancake face;pancake face;;;racial / ethnic slurs;;;1.6;Strong
d1cks;dick;;;sexual anatomy / sexual acts;;;1.4;Mild
porch monkey;porch monkey;;;racial / ethnic slurs;;;3;Severe
raghead;raghead;;;racial / ethnic slurs;;;3;Severe
d1ckz;dick;;;sexual anatomy / sexual acts;;;1;Mild
d1ldo;dildo;;;sexual anatomy / sexual acts;;;1.4;Mild
ragheads;raghead;;;racial / ethnic slurs;;;2.6;Severe
ragtard;retard;raghead;;racial / ethnic slurs;;;3;Severe
redskin;redskin;;;racial / ethnic slurs;;;2.2;Strong
rice monkey;monkey;;;racial / ethnic slurs;;;3;Severe
sambo;sambo;;;racial / ethnic slurs;;;2.2;Strong
sand nigger;nigger;;;racial / ethnic slurs;;;3;Severe
sheister;shit;;;racial / ethnic slurs;;;2;Strong
shiester;shiester;;;racial / ethnic slurs;;;2;Strong
shylock;shylock;;;racial / ethnic slurs;;;1.6;Strong
sl@nteye;slant eye;;;racial / ethnic slurs;physical attributes;;3;Severe
slantard;retard;slant eye;;racial / ethnic slurs;;;2.8;Severe
slanteye;slant eye;;;racial / ethnic slurs;physical attributes;;3;Severe
slanteye b1tch;bitch;slant eye;;racial / ethnic slurs;sexual orientation / gender;;2.6;Severe
slanteyes;slant eye;;;racial / ethnic slurs;;;3;Severe
slantfreak;slant eye;;;racial / ethnic slurs;physical attributes;;2.6;Severe
slanty;slant eye;;;racial / ethnic slurs;physical attributes;;2.6;Severe
spic;spic;;;racial / ethnic slurs;;;3;Severe
spick;spic;;;racial / ethnic slurs;;;2.8;Severe
spics;spic;;;racial / ethnic slurs;;;2.8;Severe
spig;spic;;;racial / ethnic slurs;;;2.6;Severe
spik;spic;;;racial / ethnic slurs;;;3;Severe
spix;spic;;;racial / ethnic slurs;;;3;Severe
spook;spook;;;racial / ethnic slurs;;;3;Severe
spooks;spook;;;racial / ethnic slurs;;;2.6;Severe
